year,month,day,dow,births
1995,5,1,Monday,11090
1995,5,2,Tuesday,12119
1995,5,3,Wednesday,11502
1995,5,4,Thursday,11800
1995,5,5,Friday,11718
1995,5,6,Saturday,8565
1995,5,7,Sunday,7965
1995,5,8,Monday,10790
1995,5,9,Tuesday,11728
1995,5,10,Wednesday,11723
1995,5,11,Thursday,11723
1995,5,12,Friday,11625
1995,5,13,Saturday,8802
1995,5,14,Sunday,8165
1995,5,15,Monday,11143
1995,5,16,Tuesday,12101
1995,5,17,Wednesday,12085
1995,5,18,Thursday,11872
1995,5,19,Friday,11692
1995,5,20,Saturday,8721
1995,5,21,Sunday,8096
1995,5,22,Monday,11250
1995,5,23,Tuesday,12539
1995,5,24,Wednesday,12193
1995,5,25,Thursday,12285
1995,5,26,Friday,12246
1995,5,27,Saturday,8795
1995,5,28,Sunday,8167
1995,5,29,Monday,8379
1995,5,30,Tuesday,11271
1995,5,31,Wednesday,12393
1995,6,1,Thursday,12243
1995,6,2,Friday,11991
1995,6,3,Saturday,9069
1995,6,4,Sunday,8059
1995,6,5,Monday,11152
1995,6,6,Tuesday,12119
1995,6,7,Wednesday,11774
1995,6,8,Thursday,12031
1995,6,9,Friday,11645
1995,6,10,Saturday,8719
1995,6,11,Sunday,8149
1995,6,12,Monday,11169
1995,6,13,Tuesday,11790
1995,6,14,Wednesday,11958
1995,6,15,Thursday,11906
1995,6,16,Friday,11856
1995,6,17,Saturday,8821
1995,6,18,Sunday,8203
1995,6,19,Monday,11223
1995,6,20,Tuesday,12395
1995,6,21,Wednesday,12049
1995,6,22,Thursday,11799
1995,6,23,Friday,11942
1995,6,24,Saturday,9065
1995,6,25,Sunday,8279
1995,6,26,Monday,11127
1995,6,27,Tuesday,12349
1995,6,28,Wednesday,12162
1995,6,29,Thursday,12423
1995,6,30,Friday,12338
1995,7,1,Saturday,9283
1995,7,2,Sunday,8256
1995,7,3,Monday,10623
1995,7,4,Tuesday,9374
1995,7,5,Wednesday,11399
1995,7,6,Thursday,12855
1995,7,7,Friday,12954
1995,7,8,Saturday,9438
1995,7,9,Sunday,8506
1995,7,10,Monday,11618
1995,7,11,Tuesday,12552
1995,7,12,Wednesday,12167
1995,7,13,Thursday,12253
1995,7,14,Friday,12659
1995,7,15,Saturday,9391
1995,7,16,Sunday,8516
1995,7,17,Monday,11461
1995,7,18,Tuesday,12495
1995,7,19,Wednesday,12129
1995,7,20,Thursday,12598
1995,7,21,Friday,12428
1995,7,22,Saturday,9328
1995,7,23,Sunday,8483
1995,7,24,Monday,11501
1995,7,25,Tuesday,12580
1995,7,26,Wednesday,12316
1995,7,27,Thursday,12309
1995,7,28,Friday,12442
1995,7,29,Saturday,9277
1995,7,30,Sunday,8384
1995,7,31,Monday,11298
1995,8,1,Tuesday,12442
1995,8,2,Wednesday,12249
1995,8,3,Thursday,12193
1995,8,4,Friday,12186
1995,8,5,Saturday,9267
1995,8,6,Sunday,8346
1995,8,7,Monday,11223
1995,8,8,Tuesday,12441
1995,8,9,Wednesday,12217
1995,8,10,Thursday,12243
1995,8,11,Friday,12154
1995,8,12,Saturday,9153
1995,8,13,Sunday,8421
1995,8,14,Monday,11297
1995,8,15,Tuesday,12760
1995,8,16,Wednesday,12244
1995,8,17,Thursday,12345
1995,8,18,Friday,12362
1995,8,19,Saturday,9265
1995,8,20,Sunday,8434
1995,8,21,Monday,11436
1995,8,22,Tuesday,12612
1995,8,23,Wednesday,12083
1995,8,24,Thursday,12381
1995,8,25,Friday,12208
1995,8,26,Saturday,9155
1995,8,27,Sunday,8509
1995,8,28,Monday,11473
1995,8,29,Tuesday,12522
1995,8,30,Wednesday,12631
1995,8,31,Thursday,12485
1995,9,1,Friday,12439
1995,9,2,Saturday,9079
1995,9,3,Sunday,8438
1995,9,4,Monday,8441
1995,9,5,Tuesday,11682
1995,9,6,Wednesday,12951
1995,9,7,Thursday,12924
1995,9,8,Friday,12939
1995,9,9,Saturday,9714
1995,9,10,Sunday,8568
1995,9,11,Monday,11480
1995,9,12,Tuesday,12583
1995,9,13,Wednesday,12173
1995,9,14,Thursday,12789
1995,9,15,Friday,13023
1995,9,16,Saturday,9535
1995,9,17,Sunday,8757
1995,9,18,Monday,11729
1995,9,19,Tuesday,12692
1995,9,20,Wednesday,12571
1995,9,21,Thursday,12663
1995,9,22,Friday,12813
1995,9,23,Saturday,9341
1995,9,24,Sunday,8659
1995,9,25,Monday,11552
1995,9,26,Tuesday,12814
1995,9,27,Wednesday,12605
1995,9,28,Thursday,12845
1995,9,29,Friday,12316
1995,9,30,Saturday,8988
1995,10,1,Sunday,8545
1995,10,2,Monday,11650
1995,10,3,Tuesday,12375
1995,10,4,Wednesday,12016
1995,10,5,Thursday,12245
1995,10,6,Friday,12081
1995,10,7,Saturday,9048
1995,10,8,Sunday,7997
1995,10,9,Monday,10892
1995,10,10,Tuesday,12273
1995,10,11,Wednesday,11843
1995,10,12,Thursday,12002
1995,10,13,Friday,11078
1995,10,14,Saturday,8920
1995,10,15,Sunday,7996
1995,10,16,Monday,10840
1995,10,17,Tuesday,11974
1995,10,18,Wednesday,11693
1995,10,19,Thursday,11463
1995,10,20,Friday,11610
1995,10,21,Saturday,8673
1995,10,22,Sunday,7827
1995,10,23,Monday,10770
1995,10,24,Tuesday,11916
1995,10,25,Wednesday,11573
1995,10,26,Thursday,11534
1995,10,27,Friday,11449
1995,10,28,Saturday,8633
1995,10,29,Sunday,7876
1995,10,30,Monday,10480
1995,10,31,Tuesday,10740
1995,11,1,Wednesday,11702
1995,11,2,Thursday,11746
1995,11,3,Friday,11368
1995,11,4,Saturday,8438
1995,11,5,Sunday,7868
1995,11,6,Monday,10809
1995,11,7,Tuesday,12038
1995,11,8,Wednesday,11702
1995,11,9,Thursday,11441
1995,11,10,Friday,11246
1995,11,11,Saturday,8522
1995,11,12,Sunday,7891
1995,11,13,Monday,10534
1995,11,14,Tuesday,11455
1995,11,15,Wednesday,11629
1995,11,16,Thursday,11436
1995,11,17,Friday,11410
1995,11,18,Saturday,8493
1995,11,19,Sunday,7772
1995,11,20,Monday,11476
1995,11,21,Tuesday,12503
1995,11,22,Wednesday,11304
1995,11,23,Thursday,7754
1995,11,24,Friday,9125
1995,11,25,Saturday,8115
1995,11,26,Sunday,7500
1995,11,27,Monday,10979
1995,11,28,Tuesday,12002
1995,11,29,Wednesday,11344
1995,11,30,Thursday,11215
1995,12,1,Friday,11206
1995,12,2,Saturday,8429
1995,12,3,Sunday,7703
1995,12,4,Monday,10346
1995,12,5,Tuesday,11676
1995,12,6,Wednesday,11188
1995,12,7,Thursday,11242
1995,12,8,Friday,11166
1995,12,9,Saturday,8201
1995,12,10,Sunday,7595
1995,12,11,Monday,10429
1995,12,12,Tuesday,11784
1995,12,13,Wednesday,11191
1995,12,14,Thursday,11403
1995,12,15,Friday,11458
1995,12,16,Saturday,8509
1995,12,17,Sunday,7759
1995,12,18,Monday,11139
1995,12,19,Tuesday,12501
1995,12,20,Wednesday,12043
1995,12,21,Thursday,11944
1995,12,22,Friday,11204
1995,12,23,Saturday,8058
1995,12,24,Sunday,6999
1995,12,25,Monday,7027
1995,12,26,Tuesday,9447
1995,12,27,Wednesday,11897
1995,12,28,Thursday,12530
1995,12,29,Friday,12207
1995,12,30,Saturday,9093
1995,12,31,Sunday,7596
1996,1,1,Monday,7683
1996,1,2,Tuesday,9408
1996,1,3,Wednesday,10954
1996,1,4,Thursday,11308
1996,1,5,Friday,11631
1996,1,6,Saturday,8680
1996,1,7,Sunday,7735
1996,1,8,Monday,10044
1996,1,9,Tuesday,11018
1996,1,10,Wednesday,11144
1996,1,11,Thursday,11304
1996,1,12,Friday,11274
1996,1,13,Saturday,8488
1996,1,14,Sunday,7685
1996,1,15,Monday,9912
1996,1,16,Tuesday,11181
1996,1,17,Wednesday,11148
1996,1,18,Thursday,11579
1996,1,19,Friday,11292
1996,1,20,Saturday,8492
1996,1,21,Sunday,7701
1996,1,22,Monday,10593
1996,1,23,Tuesday,11451
1996,1,24,Wednesday,11336
